aspects,sentiments,snippets,target,sentence
Corporate/Risks/Product Recall,-0.367,recalls 2700 Model X SUVs,TSLA,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz"
Corporate/Sales,0.466,added 465000 net new subscribers in the first quarter,SIRI,"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker"
Stock/Coverage/AnalystRatings/Upgrade,0.561,upgraded rating,GOOGL,5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5
Stock/Price Action/Bullish/Bull Position,0.57,Long,ENDP,Long $ENDP @ $26.23 on $AGN b/o rumor
Corporate/Risks/Product Recall,-0.319,Tesla recalls 2700 Model X cars,TSLA,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC"
Stock/Options,0.294,options trade would have more than doubled your money,BBBY,This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet
Corporate/Risks/Product Recall,-0.26,recalls ModelX for faulty 3rd row seat,TSLA,X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB
Market/Market,-0.421,move off the bottom but still in bear marke,WDC,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN
Stock/Signal/Buy Signal,0.464,early technical BUY signal,VRTX,$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x
Stock/Price Action/Bullish/Bullish Behavior,0.334,starting to show some relative strength and signs of potentia,FB,$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.
Stock/Price Action/Bullish,0.424,bubble might go on for some time,TSLA,"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding."
Corporate/Technical Analysis,-0.437,heading for the 200DMA,SBUX,$SBUX heading for the 200DMA and certain doom if it can not hold there.
Corporate/Appointment/Executive Appointment,0.139, shareholders back ITV head for chairman,Tesco,Tesco shareholders back ITV head for chairman
Stock/Price Action/Bullish/Bull Position,0.613,long into earnings. looks good over 600,AMZN,$AMZN long into earnings. looks good over 600
Stock/Technical Analysis,-0.48,is a short below 740 into the upper BB and is overbought,GOOGL,$GOOGL is a short below 740 into the upper BB and is overbought
Stock/Price Action,-0.562,Timberrrr,TSLA,Timberrrr $TSLA https://t.co/MRBgfDHHVa
Corporate/Rumors/Rumors,0.413,Interest Heats Up for,YHOO,Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia
Corporate/Risks/Product Recall,-0.385,Recalling 2700 Model X Units,TSLA,"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA"
Corporate/Dividend Policy,0.284,Embrace Dividend Growth,WYN,Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN
Corporate/M&A/Proposed Merger,0.472,Word on the street is that Allergen is looking at Endo International,ENDP,Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP
Stock/Technical Analysis,0.572,inverted head  shoulders pattern in the works,SBUX,$SBUX inverted head & shoulders pattern in the works. bullish.
Stock/Price Action/Bullish,0.589,I see a 20 percent upside,FB,I see a 20 percent upside in $FB shares from here
Stock/Price Action/Bullish/Bull Position,0.648,long,AAPL,long $AAPL
Stock/Price Action/Bullish/Bullish Behavior,0.446,popping up to HOD,FB,$FB popping up to HOD
Stock/Price Action/Bearish/Bearish Behavior,-0.355,yeah lets go down to 230s lol,TSLA,$TSLA yeah lets go down to 230s lol
Stock/Signal/Buy Signal,0.316,builds Deere stake ,Deere,"Buffett's Berkshire builds Deere stake, dumps Exxon"
Corporate/Risks/Product Recall,-0.221,announced it is recalling 2700 Model,TSLA,#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA
Stock/Price Action/Bullish/Bullish Behavior,0.442,making new HOD,YHOO,$YHOO making new HOD
Corporate/M&A,0.288,Daily Mail owner considering Yahoo bid,YHOO,"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP"
Stock/Price Action/Bearish,-0.53,Shorts moving in,PCLN,$PCLN Back to Back intraday reversals look out below. Shorts moving in!
Stock/Price Action/Bullish,0.408,great vol flow trade here,PYPL,$PYPL great vol flow trade here.. Love this company long time.
Stock/Coverage/Stock Coverage,0.489,keeps Outperform rated,ISRG,$ISRG PT raised to $700 from $640 at Leerink - keeps Outperform rated
Stock/Price Action,0.607,ong TSLA short MBLY,TSLA,Long $TSLA short $MBLY https://t.co/jSpUSzo6na
Corporate/Risks/Product Recall,-0.626,recalls 2700 Model X cars,TSLA,"$TSLA recalls 2,700 Model X cars. Stock dropping hard..."
Stock/Price Action/Bullish,0.222,Has broken its downtrend,AAPL,$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV
Corporate/Risks/Product Recall,-0.366,potential defect with thirdrow seat belts. Tesla Motors recalls,TSLA,"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi"
Corporate/Regulatory,-0.675,Fined 27 Million by U.K. Regulator Over Fee Failings,Aviva,Aviva Fined $27 Million by U.K. Regulator Over Fee Failings
Corporate/Strategy,0.225,Grows Efforts To Create Loyal Customers,NFLX,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe
Corporate/Risks/Product Recall,-0.307,recalls 2700 Model X SUVs,TSLA,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI"
Stock/Technical Analysis,-0.619,bearish charts keep getting worse.,NKE,$FB $AAPL $NKE $JWN bearish charts keep getting worse.
Corporate/Strategy/New Product,0.264,Apple expected to launch new iPhone,AAPL,"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG"
Stock/Price Action/Bullish/Bullish Behavior,0.349,stock gaining steam,TSLA,$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1
Corporate/Strategy,0.297,expanding its research facilities...keeping up with the pace of innovation,GILD,$GILD  is expanding its research facilities...keeping up with the pace of innovation  https://t.co/uOE7FJ4LOP
Stock/Price Action/Bullish/Bullish Behavior,0.613,we saw a large order in this one last week someone also accumulating,ENDP,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today"
Corporate/M&A,0.47,jumps on MA rumors,TRIP,TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP
Corporate/Risks/Product Recall,0.598,Seat belt recall,TSLA,Seat belt recall? who cares....  I'm a buyer $TSLA
Stock/Price Action/Bullish/Bullish Behavior,0.361,gettin in the buy zone soon ,FB,$FB gettin in the buy zone soon ;)
Corporate/Legal,-0.656,invalidated by US court,AstraZeneca,AstraZeneca's patent on asthma drug invalidated by US court
Stock/Coverage/AnalystRatings/Downgrade,-0.46,Starbucks downgraded,SBUX,Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX
Stock/Technical Analysis,0.208,technical alerts,ADBE,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH"
Stock/Signal/Buy Signal,0.172,a new long IF 110.61 is broken,QQQ,"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw"
Stock/Price Action,0.318,What a nice reversal.,GOOG,Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.
Corporate/Risks/Product Recall,-0.424,recalls 2700 Model X SUVs,TSLA,"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA"
Stock/Price Action/Bullish/Bullish Behavior,0.443,bounces off support,AAPL,"$AAPL bounces off support, it seems"
Stock/Coverage/AnalystRatings/Downgrade,-0.436,Deutsche Bank downgrades Starbucks,SBUX,Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX
Stock/Coverage/AnalystRatings/Upgrade,0.47,gets an upgrade price target,GOOGL,$GOOGL gets an upgrade price target $970
Stock/Coverage/AnalystRatings/Downgrade,-0.574,downgraded by Macquarie to underperform,NTAP,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork
Corporate/Legal/Court Ruling,-0.075,to Ensure Compliance After Petrobras Bribery Report,RollsRoyce,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report
Corporate/Risks/Product Recall,-0.291,recalling 2700 Model X cars,TSLA,"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA"
Stock/Price Action/Bullish/Bull Position,0.352,small long,FB,$fb small long 109.25 via calls
Stock/Price Action/Current Price/Oversold,0.324,Indicator signaled a Oversold,FB,Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn
Stock/Coverage/AnalystRatings/Downgrade,-0.389,Another Sell Rating Sell Ratings On,FXE,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE"
Stock/Signal/Buy Signal,0.497,New RSI signal created on COST  Buy at 148.78,COST,ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx
Corporate/Financial/Financial Results/Earnings/Financial Results,-0.431,Q1 disappoints as software licenses down,SAP,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
Stock/Price Action/Bullish/Bullish Behavior,0.476,gone green on day,FB,$FB gone green on day
Stock/Price Action/Bearish/Bearish Behavior,-0.229,Weak open and it goes rg within first 30 mins,AMZN,"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE"
Stock/Technical Analysis,0.516,is setting up above its 50day moving average,GOOGL,$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ
Stock/Price Action/Bearish,-0.554,still a dog going much lower this week,FB,$FB still a dog going much lower this week
Stock/Price Action,0.513,share price climbs,Whitbread,Whitbread share price climbs on Q4 sales growth
Corporate/Risks/Hacks,-0.309,Android twofactor authentication is breakable,GOOG,Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo
Stock/Signal/Buy Signal,0.49,New MACD signal created on CTXS  Buy at 77.09,CTXS,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ
Stock/Price Action/Bullish/Bull Position,0.476,long this morning,NFLX,$BAC $ADSK $NFLX long this morning
Stock/Price Action/Bearish/Bear Position,-0.524,Locked in some FB puts,FB,Locked in some $FB puts for nice gain
Stock/Price Action/Bearish,-0.43,3rd red day in a row ,TSLA,3rd red day in a row ? $TSLA
Stock/Price Action/Bullish/Bull Position,0.558,went long,ILMN,Just went long $ILMN
Stock/Price Action/Bullish/Bullish Behavior,0.431,up almost 20 from its February lows,AAPL,#Apple up almost 20% from its February lows with very little fanfare. $AAPL
Stock/Price Action/Bearish,-0.41,weakness continues again,DISH,$DISH weakness continues again. 49.43 area resistance after last week
Corporate/Sales,0.367,shipments on track to exceed forecasts,AAPL,$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d
Stock/Price Action/Volatility/Short Selling,-0.41,short finally making gains,COST,$COST short finally making gains. I will take half my gains at 147
Stock/Technical Analysis,-0.07,doomed in 1 chart,GOOG,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP
Stock/Price Action/Bullish/Bullish Behavior,0.559,The RipRoaring Rally Is Just Beginning,AAPL,Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9
Stock/Price Action,0.462,Upside moves in the volatile mining secto,AAL,"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time"
Corporate/Risks/Product Recall,-0.327,Voluntary recall of 2700 Model X vehicles,TSLA,"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS"
Stock/Price Action/Volatility/Short Selling,-0.528,not available for shorting at this time,W,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?
Stock/Coverage/AnalystRatings/Downgrade,-0.611,Deutsche Bank Downgraded Starbucks,SBUX,Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa
Corporate/Dividend Policy,-0.066,dividend  3,GOOG,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST
Corporate/Financial/Financial Results/Earnings/Profit Warning,-0.556,tumbles on Q1 warning,JNPR,Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO
Stock/Price Action/Bullish,0.521,Looking for a strong bounce,SPY,Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB
Stock/Price Action/Bearish,-0.296,DJI overbought,VZ,"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF"
Corporate/Company Communication,0.144,defends Berkshire Hathaways conglomerate structure,Berkshire Hathaway,Warren Buffett defends Berkshire Hathaway's conglomerate structure
Stock/Coverage/AnalystRatings/Upgrade,0.61,upgrades to outperform lifts price target,TSLA,"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs"
Corporate/Risks/Product Recall,0.003,recall not a big deal,TSLA,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...
Stock/Technical Analysis,0.281,testing the 200 day ma,TSLA,$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW
Stock/Price Action/Bullish,0.368,looking for a sharp move up in equities,LOW,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down."
Stock/Price Action/Bearish/Bearish Behavior,-0.551,down 20 in afterhour market,JD,$JD down 20% in after-hour market. anyone care to explain why?
Stock/Price Action/Bullish,0.326,Look at that AMZN  600,AMZN,Look at that $AMZN > 600
Corporate/M&A/M&A,0.391,the bidding war picks up for the company,YHOO,Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn
Stock/Price Action/Bearish/Bearish Behavior,-0.383,shares down as much as 4.2,SBUX,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k
Corporate/Financial/Financial Results/Earnings/Earnings Beat,-0.248,Beat the estimates,AAPL,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o
Stock/Price Action/Bullish/Bull Position,0.613,long,AAPL,long $AAPL 107 calls @ .40
Stock/Technical Analysis,0.102,faces a different technical test today,NFLX,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY"
Stock/Coverage/AnalystRatings/Downgrade,-0.531,down PM from DB downgrade,SBUX,"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64"
Stock/Technical Analysis,-0.441,working on a couple daily dojis,EBAY,$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe
Stock/Price Action/Current Price/52-Week High,0.419,Breaking 52 week highs timing looks great now,VNET,Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU
Corporate/Risks/Product Recall,-0.378,ecalling pretty much every single model,TSLA,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade
Stock/Price Action/Bullish/Bullish Behavior,0.394,high of day just hit.,AAPL,$aapl high of day just hit. Back at it tomorrow.
Stock/Price Action/Bullish,0.518,shorts getting skinned again,TSLA,ouch looks like $tsla shorts getting skinned again
Corporate/Dividend Policy,0.484,Dividend Increase Rewards Patient Investors,QCOM,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM"
Stock/Coverage/AnalystRatings/Upgrade,0.456,received a Buy rating,FB,Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu
Stock/Price Action/Bullish,-0.485,if we can find support around 243.39 and pop up,TSLA,$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV
Stock/Coverage/AnalystRatings/Upgrade,0.529,Position Increased by Mizuho,CTXS,Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews
Stock/Options,0.513,Notable gainers among liquid option names this morning,X,"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),"
Corporate/Strategy/Business Outlook,-0.39,Is Facebooks user engagement falling,FB,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt
Corporate/Risks,0.252,contract problems remain,G4S,G4S sees profits rise but UK contract problems remain
Corporate/Financial/Financial Results/Earnings,0.387,lifts profits 38,Friends Life,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover
Stock/Price Action,0.655,share price surges,Auto Trader,Auto Trader share price surges as company floats on LSE
Corporate/Risks,-0.181,boss faces stiff challenge,Credit Suisse,New Credit Suisse boss faces stiff challenge in Asia
Corporate/Sales,0.284,Traffic Up,Aer Lingus,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February"
Corporate/Strategy/Investment,0.161,Investing In Tesco PLC And Prudential plc Now,Tesco PLC,Is It Worth Investing In Tesco PLC And Prudential plc Now?
Corporate/Appointment/Executive Appointment,0.137,hires Avivas David Hillier for multiasset team,Insight,Insight hires Aviva's David Hillier for multi-asset team
Market/Market/Market Trend,0.516,FTSE 100 Gainers,Friends Life,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers
Market/Market,0.536,in tough market,Sainsbury,Sainsbury's says to outperform rivals in tough market
Corporate/M&A/Proposed Merger,-0.253,bid for Mr Bricolage runs into trouble,Mr Bricolage,CompaniesKingfisher bid for Mr Bricolage runs into trouble
Stock/IPO,0.641,shares leap in UKs biggest private equitybacked listing,Auto Trader,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing
Market/Market,0.514,drive markets higher,Ashtead,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls"
Corporate/Strategy/Reorganization,0.264,complete deals to reshape both drugmakers,Novartis,GSK and Novartis complete deals to reshape both drugmakers
Corporate/M&A/M&A,0.39,Life top forecasts ahead of 5.6 billion pound merger,Friends Life,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger"
Corporate/M&A/M&A,0.283,to Sell OneMain to Springleaf for 4.25 Billion,OneMain,Citigroup to Sell OneMain to Springleaf for $4.25 Billion
Stock/Price Action/Bullish/Bullish Behaviour,0.544,U.K. Stocks Resume Gains to Rally to Record,Tullow,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb"
Stock/Price Action/Bearish/Bearish Behaviour,-0.437,British American Tobacco drops,PwC,British American Tobacco drops and sues PwC over pollution scandal
Market/Market/Market Trend,-0.651,UKs FTSE has worst day so far in 201,Prudential,UK's FTSE has worst day so far in 2015 as BG and Prudential fall
Corporate/Rumors/Scoop,-0.158,in Total Recall how pulling a product affects profit,Cadburys,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit"
Corporate/M&A/M&A,0.214,Merger Came Together in Speedy 10 Weeks,Kraft,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks
Corporate/Sales/Partnership,0.364,Teams With Daiichi Sankyo To Sell Movantik In US,Daiichi Sankyo,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US
Stock/Price Action,-0.216,Sensex pares gains,Sensex,RBI surprises Street; Sensex pares gains after hitting mount 30k
Corporate/Strategy,0.125,poaches Prudentials Thiam for Asian push,Credit Suisse,Credit Suisse poaches Prudential's Thiam for Asian push
Corporate/M&A/Proposed Merger,-0.311,Kingfisher takeover of Mr Bricolage could hit a brick wall,Mr Bricolage,Kingfisher takeover of Mr Bricolage could hit a brick wall
Stock/Price Action/Bearish/Bearish Behaviour,-0.508,Barclays Shell Fall,Shell,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall"
Stock/Price Action/Volatility/Stock Volatility,0.053,Admiral blows hot and cold,Friends Life,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger
Corporate/Sales/Partnership,0.361,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK,Daiichi Sankyo,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US
Stock/Signal/Buy Signal,0.379,Legal  General arm buys 50 pct stake in MediaCityUK,MediaCityUK,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester
Corporate/Dividend Policy,-0.052,dividend still increases,Rangold,Randgold profit hit by poor gold price but dividend still increases
Corporate/Dividend Policy,0.494,lifts dividend,Travis Perkins,"CompaniesTravis Perkins lifts dividend, earnings rise 15%"
Market/Market/Market Trend,0.443,Aviva tops the market,Friends,Market Report: Aviva tops the market as traders approve of its choice of Friends
Corporate/Appointment/Executive Appointment,0.025,picks Standard Banks Hemphill as new CEO,Standard Bank,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO
Corporate/Sales,0.704,after strong sales,Primark,Primark racks up a happy Christmas after strong sales
Corporate/Regulatory,0.143,backs safety updates for AstraZenec,AstraZeneca,"FDA panel backs safety updates for AstraZeneca, Takeda drugs"
Corporate/Risks,0.0,India boardroom turmoil,Diageo,CompaniesDiageo stays neutral on India boardroom turmoil
Stock/Fundamentals,0.446,to grow this year after solid end to 2014,Pearson,UPDATE 1-Pearson expects to grow this year after solid end to 2014
Corporate/Reputation,-0.046,will not affect image of,Germanwings,Germanwings disaster will not affect image of budget air travel - easyJet
Corporate/Rumors/Rumors,-0.345,Deal Meets Shareholder Skepticism,Shell,Shell's $70 Billion BG Deal Meets Shareholder Skepticism
Corporate/Sales/Deal,0.136,sells Blinkbox and broadband service to,TalkTalk,Tesco sells Blinkbox and broadband service to TalkTalk
Corporate/M&A/M&A,0.193,offers 50 percent premium to buy,Shell,Shell offers 50 percent premium to buy BG for $70 billion
Corporate/Sales,0.251,boosts sales,WPP,WPP boosts sales despite cautious clients
Corporate/M&A/M&A,0.25,buy BG Group in 69.7 billion takeover,Shell,Shell to buy BG Group in $69.7 billion takeover
Stock/Price Action/Bullish/Bullish Behaviour,0.556,Shares Rise,Standard Chartered,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise
Corporate/Risks,0.037,shareholders back more disclosure on climate change risks,BP,UPDATE 1-BP shareholders back more disclosure on climate change risks
Corporate/Strategy/Corporate Expansion,-0.196,challenges Exxon dominance with 47 billionpound bid for BG,Exxon,Shell challenges Exxon dominance with 47 billion-pound bid for BG
Corporate/M&A/M&A,0.259,Royal Dutch Shell to Buy BG Group for Nearly 70 Billion,Royal Dutch Shell,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion
Corporate/Sales,-0.521,omes up short with sales slide,Diageo,City spirits sink after Diageo comes up short with sales slide
Corporate/Reputation,-0.255,United Spirits on financial irregularitie,Diageo,Diageo receives reports from United Spirits on financial irregularities involving ...
Corporate/Sales,0.213,despite sales slump,Unilever,Unilever profit rises despite sales slump in China
Corporate/Sales/Deal,0.777,Wins 9.2 Billion Order From Emirates Airline,RollsRoyce,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline
Corporate/Sales,0.256,sales rise,Tesco,Tesco sales rise shows tentative recovery continues
Corporate/Sales,-0.545,sales disappoint,Diageo,Diageo sales disappoint as currency and comparatives leave bitter taste
Stock/Technical Analysis/Trend/Trending up,0.389,Tesco leads leap in FTSE 100 ,Tesco,Tesco leads leap in FTSE 100; Marks & Spencer drops
Corporate/Sales,-0.405,as sales of stalwarts fade,AstraZeneca,AstraZeneca profit down as sales of stalwarts fade
Corporate/Sales,0.385,Profit Up As Sales Continue To Ris,Whitbread,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO"
Corporate/Risks,-0.331,blames rivals,Glencore,Glencore blames rivals for creating metals glut
Corporate/Dividend Policy,-0.221,6 bln capital return plan,GlaxoSmithKline,Doubts grow over GlaxoSmithKline's $6 bln capital return plan
Market/Volatility,-0.495,leads Britains FTSE lower,easyJet,easyJet leads Britain's FTSE lower as global bond rout resumes
Corporate/Dividend Policy,0.336,Quarterly Dividends,Imperial Tobacco,Imperial Tobacco Adds Quarterly Dividends After Profit Rose
Corporate/Dividend Policy,0.65,dividend up 4,Royal Dutch Shell,Royal Dutch Shell profit rises; dividend up 4%
Corporate/M&A/Proposed Merger,0.235,BG Group Still Happy With Shells 70 Billion Offer,Shell,BG Group Still Happy With Shell's $70 Billion Offer
Corporate/M&A/Proposed Merger,0.296,buys Meantime,SABMiller,SABMiller buys Meantime to quench thirst for craft beer
Corporate/Strategy/Corporate Expansion,-0.09,shuts Friends Life head office in rapid integration move,Friends Life,Aviva shuts Friends Life head office in rapid integration move
Stock/Technical Analysis/Trend/Trending up,0.459,rise in Britains share index,Sports Direct,Retailers Kingfisher and Sports Direct rise in Britain's share index
Stock/IPO,0.229,scraps ViiV IPO,GlaxoSmithKline,"GlaxoSmithKline targets growth across units, scraps ViiV IPO"
Stock/Price Action,0.354,share price closes higher,Tesco,Tesco share price closes higher as two more directors leave grocer
Corporate/Rumors,0.453,Clubcard bid reports,Tesco,Tesco leads FTSE higher on Clubcard bid reports
Stock/Technical Analysis/Volume/Unusually high volume,0.516,Has Broken Out To A New High,Eli Lilly  Co,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration
Corporate/Sales,0.724,gross sales beat,Old Mutual,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct"
Corporate/Legal/Settlement,-0.121,settles oil spillrelated claims,BP,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean"
Stock/Price Action,-0.408,share price,GlaxoSmithKline,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults
Stock/Price Action,-0.301,share price fall,Glencore,Glencore chief blames rivals' overproduction for share price fall
Corporate/Legal/Lawsuit,-0.152,Sue Over Law Taking Branding Off Packs,BAT,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs"
Stock/Price Action,-0.514,share price falls,Hargreaves Lansdown,Hargreaves Lansdown share price falls as costs mount - although pensions ...
Corporate/Appointment,0.195,Set To Appoint Roy Gardner ExCentrica As Chairman  FT,Centrica,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT"
Stock/Signal/Buy Signal,0.461,Semiconductor offers to buy Integrated Silicon Solution,Integrated Silicon Solution,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution
Corporate/Legal/Settlement,-0.69,RBS must pay 806 mln in mortgage bond case,RBS,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge"
