aspects,sentiments,snippets,target,sentence,combined,news
Corporate/Appointment/Executive Appointment,0.066,Sanofi poaches AstraZeneca scientist,Sanofi,Sanofi poaches AstraZeneca scientist as new research head,Sanofi poaches AstraZeneca scientist Sanofi poaches AstraZeneca scientist as new research head,sanofi poaches astrazeneca scientist sanofi poaches astrazeneca scientist new research head
Corporate/Sales,0.172,by cutting sales decline,Tesco,Tesco breaks its downward slide by cutting sales decline in half,by cutting sales decline Tesco breaks its downward slide by cutting sales decline in half,cutting sales decline tesco breaks downward slide cutting sales decline half
Stock/Fundamentals,0.5,s books solid earnings growth,Schroders,"News FeedSchroders books solid earnings growth, several board changes","s books solid earnings growth News FeedSchroders books solid earnings growth, several board changes",books solid earnings growth news feedschroders books solid earnings growth several board changes
Corporate/Strategy,0.046,strategic update outlining its plan,Intertek Group,Intertek Group announces strategic update outlining its plan,strategic update outlining its plan Intertek Group announces strategic update outlining its plan,strategic update outlining plan intertek group announces strategic update outlining plan
Corporate/M&A/M&A,0.327,seals 22 billion merger with,London Stock Exchange,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,seals 22 billion merger with London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,seals  billion merger london stock exchange seals  billion merger germanys deutsche brse
Corporate/Dividend Policy,-0.498,Suspends Dividend,Tullow Oil,Tullow Oil Suspends Dividend Amid Oil Price Fall,Suspends Dividend Tullow Oil Suspends Dividend Amid Oil Price Fall,suspends dividend tullow oil suspends dividend amid oil price fall
Corporate/M&A/Proposed Merger,-0.2,owner ICE may gatecrash Deutsche BoerseLSE merger,LSE,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,owner ICE may gatecrash Deutsche BoerseLSE merger NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,owner ice may gatecrash deutsche boerselse merger nyse owner ice may gatecrash deutsche boerselse merger
Stock/Signal/Sell Signal,-0.045,to Sell SABMiller Stake in,SABMiller,AB InBev to Sell SABMiller Stake in China's Snow Beer,to Sell SABMiller Stake in AB InBev to Sell SABMiller Stake in China's Snow Beer,sell sabmiller stake ab inbev sell sabmiller stake chinas snow beer
Corporate/M&A/M&A,0.105,merger would signal end to,LSE,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,merger would signal end to LSE-Deutsche Boerse merger would signal end to exchange mega-deals,merger would signal end lsedeutsche boerse merger would signal end exchange megadeals
Corporate/Dividend Policy,0.066,to Scrap U.K. Treasurys Dividend Rights,RBS,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,to Scrap U.K. Treasurys Dividend Rights RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,scrap uk treasurys dividend rights rbs pays  billion scrap uk treasurys dividend rights
Market/Market,0.287,confident in reslilience amid mixed markets,Wolseley,Industry NewsWolseley confident in reslilience amid mixed markets,confident in reslilience amid mixed markets Industry NewsWolseley confident in reslilience amid mixed markets,confident reslilience amid mixed markets industry newswolseley confident reslilience amid mixed markets
Corporate/Reputation,-0.498,criticised for disgraceful advert showing domestic worker being slapped,Tesco,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,criticised for disgraceful advert showing domestic worker being slapped Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,criticised disgraceful advert showing domestic worker slapped tesco criticised disgraceful advert showing domestic worker slapped
Stock/Price Action,0.678,as investors cheer Kingfisher results,Kingfisher,FTSE edges up as investors cheer Kingfisher results,as investors cheer Kingfisher results FTSE edges up as investors cheer Kingfisher results,investors cheer kingfisher results ftse edges investors cheer kingfisher results
Corporate/Dividend Policy,0.261,Lender Cuts Dividends to Shore Up Capita,Barclays,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Lender Cuts Dividends to Shore Up Capita Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,lender cuts dividends shore capita barclays bonds rise lender cuts dividends shore capital
Corporate/Financial,0.582,gets lift from Prudential results,Prudential,Britain's FTSE gets lift from Prudential results,gets lift from Prudential results Britain's FTSE gets lift from Prudential results,gets lift prudential results britains ftse gets lift prudential results
Corporate/Sales/Deal,0.389,grocery deal with Morrisons ,Morrisons,Amazon's grocery deal with Morrisons is only the beginning,grocery deal with Morrisons  Amazon's grocery deal with Morrisons is only the beginning,grocery deal morrisons  amazons grocery deal morrisons beginning
Corporate/Risks,-0.402,fail to find reserves,Royal Dutch Shell,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...","fail to find reserves Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",fail find reserves oil majors like royal dutch shell chevron bp fail find reserves counter
Corporate/Rumors/Rumors,0.328,Said to Start Lining Up Financing for,LSE,ICE Said to Start Lining Up Financing for LSE Bidding War,Said to Start Lining Up Financing for ICE Said to Start Lining Up Financing for LSE Bidding War,said start lining financing ice said start lining financing lse bidding war
Corporate/Appointment/Staff Hiring,-0.242,to Withdraw Staff From,Statoil,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack","to Withdraw Staff From BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",withdraw staff bp statoil withdraw staff algeria following rocket attack
Corporate/M&A/Proposed Merger,0.358,Support Deutsche BoerseLSE Merger,LSE,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,Support Deutsche BoerseLSE Merger Merkel's Government Said to Support Deutsche Boerse-LSE Merger,support deutsche boerselse merger merkels government said support deutsche boerselse merger
Corporate/Dividend Policy,0.377,weighs cash handou,Aviva,Aviva weighs cash handout after beating profit forecast,weighs cash handou Aviva weighs cash handout after beating profit forecast,weighs cash handou aviva weighs cash handout beating profit forecast
Stock/Fundamentals,0.555,Reports Strong 2015 Growth,WPP,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth","Reports Strong 2015 Growth WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",reports strong  growth wpp worlds largest ad agency reports strong  growth
Corporate/Strategy/Reorganization,-0.142,Shell plan to break up Motiva divide up assets,Saudi Aramco,"Saudi Aramco, Shell plan to break up Motiva, divide up assets","Shell plan to break up Motiva divide up assets Saudi Aramco, Shell plan to break up Motiva, divide up assets",shell plan break motiva divide assets saudi aramco shell plan break motiva divide assets
Corporate/M&A/M&A,-0.079,to sell more SAB assets as seeks,SAB,AB InBev to sell more SAB assets as seeks EU deal approval,to sell more SAB assets as seeks AB InBev to sell more SAB assets as seeks EU deal approval,sell sab assets seeks ab inbev sell sab assets seeks eu deal approval
Corporate/Sales,-0.23,Sales Pickup Isnt Enough,Tesco,Tesco's Sales Pickup Isn't Enough,Sales Pickup Isnt Enough Tesco's Sales Pickup Isn't Enough,sales pickup isnt enough tescos sales pickup isnt enough
Corporate/Sales/Deal,0.375,Expects To Close Deal For,CaixaBank,Spain's CaixaBank Expects To Close Deal For Banco BPI,Expects To Close Deal For Spain's CaixaBank Expects To Close Deal For Banco BPI,expects close deal spains caixabank expects close deal banco bpi
Corporate/M&A/M&A,0.422,Group mulls takeover of Canadas Entertainment One,ITV,ITV share price: Group mulls takeover of Canada's Entertainment One,Group mulls takeover of Canadas Entertainment One ITV share price: Group mulls takeover of Canada's Entertainment One,group mulls takeover canadas entertainment one itv share price group mulls takeover canadas entertainment one
Corporate/Rumors,0.138,One dispels ITV takeover rumours,Entertainment One,Entertainment One dispels ITV takeover rumours,One dispels ITV takeover rumours Entertainment One dispels ITV takeover rumours,one dispels itv takeover rumours entertainment one dispels itv takeover rumours
Stock/Price Action/Volatility/Sell-Off,0.213,to Sell Majority Stake in Bank BPHs Core Bank,Bank BPH,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,to Sell Majority Stake in Bank BPHs Core Bank GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,sell majority stake bank bphs core bank ge sell majority stake bank bphs core bank alior bank
Stock/IPO,0.218,with StanChart for UK unit sale  source,StanChart,Tata Steel working with StanChart for UK unit sale - source,with StanChart for UK unit sale  source Tata Steel working with StanChart for UK unit sale - source,stanchart uk unit sale  source tata steel working stanchart uk unit sale  source
Stock/Price Action/Bullish/Bull Position,0.459,Slowly adding some FIO here but gotta be careful,FIO,Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,Slowly adding some FIO here but gotta be careful Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,slowly adding fio gotta careful slowly adding fio gotta careful one biggest winners 
Stock/Technical Analysis,0.438,Long setup. MACD cross.,TRX,$TRX http://stks.co/1KkK Long setup. MACD cross.,Long setup. MACD cross. $TRX http://stks.co/1KkK Long setup. MACD cross.,long setup macd cross trx httpstkscokkk long setup macd cross
Stock/Price Action/Bearish,-0.506,both fundementals and charts look like poopoo this quarter.,AMZN,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,both fundementals and charts look like poopoo this quarter. I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,fundementals charts look like poopoo quarter optimistic amzn fundementals charts look like poopoo quarter
Corporate/M&A/M&A,0.366,Crown Castle buys Tower Development Corp,Tower Development,Crown Castle buys Tower Development Corp for $461 million,Crown Castle buys Tower Development Corp Crown Castle buys Tower Development Corp for $461 million,crown castle buys tower development corp crown castle buys tower development corp million
Stock/Price Action/Bearish/Bearish Behavior,-0.202,might be selling off ahead,P,$GRPN might be selling off ahead of $P earnings...,might be selling off ahead $GRPN might be selling off ahead of $P earnings...,might selling ahead grpn might selling ahead p earnings
Stock/Technical Analysis,0.379,Looks good on the weekly chart.,IACI,$IACI http://stks.co/tJU Looks good on the weekly chart.,Looks good on the weekly chart. $IACI http://stks.co/tJU Looks good on the weekly chart.,looks good weekly chart iaci httpstkscotju looks good weekly chart
Stock/Price Action/Bullish,0.308,back over up trendline,PCLN,"$pcln back over ""up"" trendline from 10/4","back over up trendline $pcln back over ""up"" trendline from 10/4",back trendline pcln back trendline 
Stock/Price Action/Bullish/Bullish Behavior,0.578,A close above here is looking good for the bulls,NFLX,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,A close above here is looking good for the bulls RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,close looking good bulls rt robbielolz nflx close looking good bulls hold positions see close keep buying 
